number;name;father;mother;family;race;register
233/22;MANANTIALS CÁNDIDA;COLISEU TE GAM;LA ESPERANZA HYJ CANDELA T.E.;ECOVERDE TOMASA T.E.;GYR;HGY075483
233/22;MANANTIALS CÁNDIDA;COLISEU TE GAM;LA ESPERANZA HYJ CANDELA T.E.;ECOVERDE TOMASA T.E.;GYR;HGY075483
239/23;MANANTIALS GEORGINA T.E.;FARDO FIV F. MUTUM;VIA LACTEA GALILEA T.E.;PROFANA DE BRASILIA;GYR;HGY088906
248/9;EL TESORO GOTA;GABINETE SILVANIA;EL TESORO JAQUELINE;FARPA MUTUM;GYR;HGY050462
249/23;MANANTIALS ALELUYA T.E.;GENGIS KHAN DE BRASILIA;VIA LACTEA AZUCENA T.E.;SOJA DE BRASILIA;GYR;HGY088910
25/23;MANANTIALS PELIGROSA T.E.;RADAR DOS POCOES;EL TESORO PROFARA;PROFANA DE BRASILIA;GYR;HGY086710
250/23;MANANTIALS CHISPA FELIZ T.E.;FARDO FIV F. MUTUM;MANANTIALS CHISPA ROJA T.E.;EL TESORO CHISPA;GYR;HGY089434
26/20;MANANTIALES CAIPIRIÑA;COLISEU TE GAM;V. HERMOSA CHIFLADA;EMPEDRADO RANCHERA;GYR;HGY058242
26/23;MANANTIALS PRISCILA T.E.;RADAR DOS POCOES;EL TESORO PROFARA;PROFANA DE BRASILIA;GYR;HGY085403
267/22/3;MANANTIALS FAMOSA T.E.;GABINETE SILVANIA;VIA LACTEA HILLARY T.E.;FABRICA FIV DE BRAS.;GYR;HGY089400
270/21;LA ESPERANZA HYJ DEMETRIA;LA ESPERANZA HYJ DANTE;LA ESPERANZA HYJ ESMERALDA;IMPERATRIZ F. MUTUM;GYR;HGY064388
276/6;EL TESORO TANAKA;HABIL MUTUM;Ecoverde Fantasia (Fardo);ECOVERDE FANTASIA;GYR;HGY030410
276/6;EL TESORO TANAKA;HABIL FIV F. MUTUM;ECOVERDE FANTASIA;ECOVERDE FANTASIA;GYR;HGY030410
278/9;EL TESORO FUTURA T.E.;JAGUAR TE DO GAVIAO;FUTURA-PROFANA TNV FIV DA PALMA;PROFANA DE BRASILIA;GYR;HGY057279
283/19;G SAN DIEGO FANNY LOO T.E.;FARDO FIV F. MUTUM;MAALA FIV MUTUM; PALMA F. MUTUM;GYR;HGY053493
295/8;GB BARCELO FITA T.E.;FARDO MUTUM;La Gafa (Sansao);;GYR;HGY050823
300/21;MANANTIALS CHISPA MÁXIMA T.E.;TABU TE CAL;MANANTIALS CARMEN;EL TESORO CHISPA;GYR;HGY072512
301/21;MANANTIALS PARISINA T.E.;TABU TE CAL;EL TESORO PROFANA T.E.;PROFANA DE BRASILIA;GYR;HGY072143
305/21;MANANTIALS ROMANA T.E.;GENGIS KHAN DE BRASILIA;FD KATHIAWAR ROSALINA FIV T.E.;EL EMPEDRADO TUTI FRUTI T.E.;GYR;HGY071077
326/9;EL TESORO JULIANA T.E.;JOGRAL FIV DE BRAS.;EL TESORO FECULA T.E.;HAICAI FIV DE BRAS.;GYR;HGY052647
33/8;CAÑA DULCE ESMERALA;EXPONENTE DE BRASILIA;V.V KIARA;LEMAJA DOS POCOES;GYR;HGY047147
336/21;LA ESPERANZA HYJ 336;LA ESPERANZA HYJ DANTE; LA ESPERANZA HYJ MARIAJOSE;IMPERATRIZ F. MUTUM;GYR;HGY071293
34/23;MANANTIALS PALADIA T.E.;RADAR DOS POCOES;EL TESORO PROFARA;PROFANA DE BRASILIA;GYR;HGY094605
132/9;SALONICA USUAL-GEM T.E.;PH UHISQUE; SALONICA JULI T.E.;OPERA DOS POCOES;GYR;HGY051636
059/6;YBN JORDANIA;JAGUAR TE DO GAVIAO;FD KATHIAWAR SORTANIA FIV T.E.;EMPEDRADO RANCHERA;GYR;HGY033788
262/22;MANANTIALS DAMITA T.E.;MANDARIM FIV WAD;MANANTIALS DALAILA;SR TANGO DULCINEA;GYR;HGY082452
339/16;V. HERMOSA JUBILOSA T.E.;JAGUAR TE DO GAVIAO;GRG CHAPOLERA 005/11 T.E.;FASE MUTUM;GYR;HGY032411
59/20;COLGANADOS POESÍA;LA JUDEA TRUCO;EL TESORO PROFARA T.E.;PROFANA DE BRASILIA;GYR;HGY063413
838/1;EL TESORO AMOROSA T.E ;ANTONIONE FIV CABO VERDE;L.E RELIQUIA;LA PALESTINA 333/8;GYR;HGY070910
1042;MANANTIALS PALOMA T.E.;ANTONIONE FIV CABO VERDE;EL TESORO PROFARA T.E.;PROFANA DE BRASILIA;GYR;HGY083726
1012;MANANTIALS GENOVEVA T.E.;NOBREGA FIV DO BASA;VIA LACTEA GALILEA T.E.;PROFANA DE BRASILIA;GYR;HGY085684
1142;MANANTIALS KENDRA T.E.;ANTONIONE FIV CABO VERDE;VIA LACTEA KATERINE T.E.;VIA LACTEA KATERINE T.E.;GYR;HGY083939
105/20;DELMAR MÁXIMA T.E;GABINETE SILVANIA;V.V MIMOSA;JARRINHA CAL;GYR;HGY057072
103/7;YBN FATIMA T.E.;FARDO FIV F. MUTUM;EL EMPEDRADO TALIA T.E.;BAVLA DOS POCOES;GYR;HGY041452
226/23;MANANTIALS PIMPINELA;AP H229/09 HILARIO;COLGANADOS PINCELADA T.E.;PROFANA DE BRASILIA;GYR;HGY088038
1092;MANANTIALS MORENA T.E.;NOBREGA FIV DO BASA;TASMANIA MANDALA T.E.;MANDALA VILA RICA;GYR;HGY083935
384/22;LA ESPERANZA HYJ MOKA T.E.;TEATRO DA SILVANIA;VIA LACTEA LUDY T.E.;DEVASSA WAD;GYR;HGY075646
194/29;LA ESPERANZA HYJ CIELO T.E.;COLISEU TE GAM;SR. TANGO DULCINEA T.E.;SR. TANGO DULCINEA T.E.;GYR;HGY049744
325/21;LA ESPERANZA HYJ 325/21 T.E.;GENGIS KHAN DE BRASILIA;FD KATHIAWAR ROSALINA FIV T.E.;OPACA BRASILIA;GYR;HGY070106
230/1;CAÑA DULCE EMILIA;NERO 2B;AP EVOLUTIVA;AP EVOLUTIVA;GYR;HGY067757
978/4;EL EMPEDRADO URBINA;PH UISQUE;EL EMPEDRADO REGINA T.E.;NOVALIMA TE BRASILIA;GYR;HGY024368
114/0;CAÑA DULCE VIGILIA;FARDO FIV F. MUTUM;VIVARA FIV MUTUM;INCISAO FIV DE BRAS.;GYR;HGY056604
37/19;DELMAR MIMADA;GOLIAS TE SILVANIA;V.V MIMOSA;JARRINHA CAL;GYR;HGY051134
370/9;TASMANIA MANDALA;C.A SANSAO;MANDALA VILA RICA;MANDALA VILA RICA;GYR;HGY053676
388/22;LA ESPERANZA HYJ BARONESA;ALABAMA FS BARRY T.E.;VIA LACTEA GENCIANA T.E.;SOJA DE BRAS.;GYR;HGY076435
39/23;MANANTIALS LIMA T.E.;RADAR DOS POCOES;VIA LACTEA LACRIMA T.E.;JIBA DE BRASILIA;GYR;HGY090858
404/23;MANANTIALS PROTAGONISTA T.E.;FERIADO FIV DA JGVA;EL TESORO PROFANA T.E.;PROFANA DE BRASILIA;GYR;HGY088992
42/22;MANANTIALS AZUL T.E.;GENGIS KHAN DE BRASILIA;VIA LACTEA AZUCENA;SOJA DE BRASILIA;GYR;HGY081688
428/9;EL TESORO FUTURA;FARDO MUTUM;EPECO MUTUM;EPECO MUTUM;GYR;HGY056117
528/6;EL TESORO CHISPA;CETRO SILVANIA;EL TESORO INDIANA;EL TESORO CHISPA;GYR;HGY035109
548/69;VIA LACTEA GALILEA;GENGIS KHAN DE BRASILIA;LEONIA FIV DO BASA;PROFANA DE BRASILIA;GYR;HGY055392
548/69;VIA LACTEA GALILEA T.E.;GENGIS KHAN DE BRASILIA;LEONIA FIV DO BASA;PROFANA DE BRASILIA;GYR;HGY055392
57/19;MANANTIALS FLORENCIA;V.V. NOBEL;EL EMPEDRADO FRULY FIV T.E.;;GYR;HGY052091
57/9;CAÑA DULCE GALACTICA;GABINETE SILVANIA;V.V ESFERA;JARRINHA CAL;GYR;HGY050566
580/0;EL TESORO FILEMONA T.E;FARDO FIV F. MUTUM;GAZELA FIV ALAMBARI; PALMA F. MUTUM;GYR;HGY059143
59/18;MANANTIALES ELEGANTE;VALEOURO SILVANIA;V. HERMOSA ORGANZA;FD KATHIAWAR TURCA;GYR;HGY049413
604/7;EL TESORO GITANA;GENGIS KHAN DE BRASILIA;PROFANA TN V ;PROFANA DE BRASILIA;GYR;HGY040259
61/22;MANANTIALES PANDA T.E.;NOBREGA FIV DO BASA;EL TESORO PROFANA T.E.;PROFANA DE BRASILIA;GYR;HGY081693
610/0;EL TESORO FANIA T.E.;FARDO FIV F. MUTUM;ABALAVEL CAL;ABALAVEL CAL;GYR;HGY059931
62/18;MANANTIALES ELEGIDA;VALEOURO SILVANIA;Espuma (Estanho);EMPEDRADO RANCHERA;GYR;HGY047385
626/120;VIA LACTEA NITA;FABULOSO DO BASA;NITA FIV DO BASA;FABRICA DE BRASILIA;GYR;HGY057143
626/120;VIA LACTEA NITA T.E.;FABULOSO DA BASA;NITA FIV DO BASA;FABRICA DE BRASILIA;GYR;HGY057143
628/0;EL TESORO NOEMI;NEYMAR DE BRASILIA;Escorva (Tabu);SINTA TE CAL;GYR;HGY059937
